account_id,item_name,status,opened_quantity,spent,closed_quantity,received_post_tax,tax_paid,profit,opened_time,closed_time,updated_time,flip_hash
Ormeth,Diamond bolts (e),FINISHED,279,49662,279,54405,837,4743,2025-08-06T19:28:40Z,2025-08-06T19:33:37Z,2025-08-06T19:33:37Z,f129a6a9d1c984b6d433d3221deb6719896df3e3e9bcbcb5ba03e286566ffe83
Ormeth,Eclipse moon chestplate,FINISHED,2,1843754,2,1907272,38922,63518,2025-08-06T19:19:37Z,2025-08-06T19:30:25Z,2025-08-06T19:30:25Z,45e85d7fcd8b38fa46b0c128873f43a9760143960e73d05742b6588c32b4239e
Ormeth,Amulet of fury,FINISHED,5,11515045,5,11709185,238960,194140,2025-08-06T18:42:28Z,2025-08-06T19:18:07Z,2025-08-06T19:18:07Z,6d1b8a9531519d95b806d986f7c25b14df82e703eaa7c9e4c004cc9eca5f3e72
Ormeth,Fremennik kilt,FINISHED,1,4642508,1,4690747,95729,48239,2025-08-06T18:31:56Z,2025-08-06T19:17:53Z,2025-08-06T19:17:53Z,7a91a72dd9f768910ab640d924cc90b91e0ef708372cff0287271bcfa8e68026
Ormeth,Saradomin brew(4),FINISHED,2000,19654000,2000,19786000,402000,132000,2025-08-06T19:02:07Z,2025-08-06T19:12:31Z,2025-08-06T19:12:31Z,a2e00385aabe2b2650015655ea1f06faf2b12dcec5d7ce4f8a31a91da83f4fdb
Ormeth,Blue moon tassets,FINISHED,2,3803466,2,3951681,80645,148216,2025-08-06T18:43:07Z,2025-08-06T18:51:08Z,2025-08-06T18:51:08Z,c3063924b1e9248a02a2ea00ebe7b33cb9c834a1c1ebe800970ebffbcf933f81
Ormeth,Amulet of fury,FINISHED,1,2303009,1,2328699,47524,25690,2025-08-06T18:41:01Z,2025-08-06T18:42:03Z,2025-08-06T18:42:03Z,969a4a495fa96ab9cdbbaad32f6cee20ff58bb1e16af7d4193aa9e831235ada3
Ormeth,Echo crystal,FINISHED,1,2810826,1,2837601,57910,26775,2025-08-06T18:40:13Z,2025-08-06T18:41:24Z,2025-08-06T18:41:24Z,97afc974dc27bfcb43cfee7650290281248be606c1f6b49345f9bd04a1094203
Ormeth,Cape of skulls,FINISHED,1,4660452,1,4735731,96647,75279,2025-08-06T18:39:58Z,2025-08-06T18:41:20Z,2025-08-06T18:41:20Z,d2f465d506da8519a514de9be4e89cdb8901f8ccba1847dcb2f29bb81fe02ace
Ormeth,Dragon felling axe,FINISHED,1,2149333,1,2182091,44532,32758,2025-08-06T18:23:14Z,2025-08-06T18:39:58Z,2025-08-06T18:39:58Z,b56e27b8de928250422c61d2929df2a09657bb6f484ef1817a15b327a09503e2
Ormeth,Amethyst broad bolts,FINISHED,716,184728,716,194036,3580,9308,2025-08-06T18:24:02Z,2025-08-06T18:39:58Z,2025-08-06T18:39:58Z,5b23887f7edc4ff2ac100aafd7efa9c48bce92eef0705d572c70cb8feedaf611
Ormeth,Rune dart,FINISHED,9237,2512464,9237,2586360,46185,73896,2025-08-06T18:06:47Z,2025-08-06T18:31:04Z,2025-08-06T18:31:04Z,35f3d3b077252b33580df1edfcd4022269222e52459bfde8082f2d21359abfea
Ormeth,Sanguinesti staff (uncharged),FINISHED,1,32482139,1,32794297,669271,312158,2025-08-06T18:26:09Z,2025-08-06T18:30:13Z,2025-08-06T18:30:13Z,7f83a537a0f94fb436abd4d4d91db3867f446ef1dfbef4e84046fbaa4583c785
Ormeth,Lava rune,FINISHED,18000,234000,18000,270000,0,36000,2025-08-06T18:20:41Z,2025-08-06T18:29:12Z,2025-08-06T18:29:12Z,71d9a92e5fa938f302b28295bab8b49c47ab203ec76adc8719cbfdd4c4ff50a5
Ormeth,Viggora's chainmace (u),FINISHED,1,5749448,1,5828090,118940,78642,2025-08-06T18:17:49Z,2025-08-06T18:25:52Z,2025-08-06T18:25:52Z,d0d594b5ee307505da9c5a00c8bae461d12bded22da381b008dc8ed97832a18a
Ormeth,Ring of the gods,FINISHED,1,1103430,1,1135530,23174,32100,2025-08-06T18:13:06Z,2025-08-06T18:21:39Z,2025-08-06T18:21:39Z,8501c829a82396406311451a16ad2de9dc92f225c26ec9a776f7163a685da4c6
Ormeth,Mahogany logs,FINISHED,5862,1617912,5862,1629636,29310,11724,2025-08-06T17:42:31Z,2025-08-06T18:17:32Z,2025-08-06T18:17:32Z,e044680f3fc591c23a094e93d0fed6ef8ab53865e81ef2d8f121141780b7c2d0
Ormeth,Ankou mask,FINISHED,1,10418710,1,10559270,215495,140560,2025-08-06T17:24:41Z,2025-08-06T18:09:14Z,2025-08-06T18:09:14Z,2dcfade8710f4dcdd9a27f21e0c7b7d4eea13839e69708b3686de63a52a1b614
Ormeth,Rune arrow,FINISHED,11000,1694000,11000,1727000,33000,33000,2025-08-06T17:53:10Z,2025-08-06T18:04:40Z,2025-08-06T18:04:40Z,65c0726b6ef92ff4b6f408217c06442ee9238ce2d6d81e2f9005f0e9bac9a998
Ormeth,Warrior ring,FINISHED,1,70199,1,75185,1534,4986,2025-08-06T17:54:24Z,2025-08-06T18:03:07Z,2025-08-06T18:03:07Z,ca13ee00d0cd060bed4f5b9a55ede1384a5b674d21d20956b66c4900fc62bf8c
Ormeth,Guardian boots,FINISHED,1,4687491,1,4814462,98254,126971,2025-08-06T17:43:32Z,2025-08-06T18:01:37Z,2025-08-06T18:01:37Z,7033a5d48552e3b2b715e01e2e9a928d756e48d33c6459051f753595ebfcb95e
Ormeth,Ardougne teleport,FINISHED,1156,734060,1156,745620,0,12701,2025-08-06T16:37:55Z,2025-08-06T17:57:39Z,2025-08-06T17:57:39Z,e7fea5b4fda64183584bfa71877cdd56a436a36889f6b8ffd5b21f4d2aef1e6a
Ormeth,Armadyl helmet,FINISHED,2,20451492,2,20703430,422518,251938,2025-08-06T17:37:46Z,2025-08-06T17:52:29Z,2025-08-06T17:52:29Z,9ca83c9a8bee63d0012a67476f548e1de2079a88b575053a3316071e47d6bf13
Ormeth,Trouver parchment,FINISHED,23,15356019,23,15541008,317147,184989,2025-08-06T16:43:58Z,2025-08-06T17:51:49Z,2025-08-06T17:51:49Z,bb41ff13007574bc3d15273feb703878f229850dd0be927ec06d64a82aeb6c57
Ormeth,Coal,FINISHED,4734,785844,4734,809514,14202,23670,2025-08-06T17:11:43Z,2025-08-06T17:40:31Z,2025-08-06T17:40:31Z,29c1bf1410dc192927b2e902aca2afd63afd229a80feb694c62d9470b8c9ac31
Ormeth,Blood rune,FINISHED,25000,5100000,25000,5150000,100000,50000,2025-08-06T17:36:07Z,2025-08-06T17:39:27Z,2025-08-06T17:39:27Z,0e45c39cff017cd8b0c80aaba83efb50bd9c9fbac13831ee57b4c1065b7cd2f7
Ormeth,Toktz-ket-xil,FINISHED,7,3840004,7,3908205,79758,68201,2025-08-06T15:50:30Z,2025-08-06T17:31:59Z,2025-08-06T17:31:59Z,1a77526668be91415e025ed362537d900043fddf215443878a2a0608d93d439e
Ormeth,Revenant ether,FINISHED,30000,5280000,30000,5310000,90000,30000,2025-08-06T16:15:30Z,2025-08-06T17:31:32Z,2025-08-06T17:31:32Z,f0ee47dc0e8e58b19d680bb54b7dd8484c86be39f505ade2b8a93195c56cb4f6
Ormeth,Occult necklace,FINISHED,8,3363848,8,3416768,69728,52920,2025-08-06T16:47:33Z,2025-08-06T17:28:45Z,2025-08-06T17:28:45Z,2f1e78c8cc66647be9e64ead623505c7315e66d4ad575f124b3ee37aa72fe9b7
Ormeth,Hydra leather,FINISHED,1,14119895,1,14192323,289639,72428,2025-08-06T14:51:57Z,2025-08-06T17:22:50Z,2025-08-06T17:22:50Z,9c1c817cd8e5f0f063435e2a6ac07cd45ae7b9d255ad5e60d181b03e0bf7b939
Ormeth,Amethyst dart,FINISHED,11000,3652000,11000,3685000,66000,33000,2025-08-06T16:30:30Z,2025-08-06T17:07:53Z,2025-08-06T17:07:53Z,abf0390d14771a4178393e09c78e28e98d731146d63be0230f4a66fe852adf50
Ormeth,Adamant dart,FINISHED,11000,341000,11000,385000,0,44000,2025-08-06T16:19:02Z,2025-08-06T16:44:43Z,2025-08-06T16:44:43Z,55d1abb42bf9f52d566aadf49bbf272ec08ec134ba4ed419d8774b2ba0ab4f78
Ormeth,Smoke rune,FINISHED,17372,972832,17372,1042320,17372,69488,2025-08-06T15:17:18Z,2025-08-06T16:43:11Z,2025-08-06T16:43:11Z,6a88a4666c408c7d6172cf8c392b849b505209f1835e280c1598eb57251c2084
Ormeth,Zulrah's scales,FINISHED,29766,5685306,29766,5774604,89298,89298,2025-08-06T16:13:28Z,2025-08-06T16:37:07Z,2025-08-06T16:37:07Z,d1624b41c93a140593bf0858d77617c7bf05b4ec159cbdc9b5c825663503a5ed
Ormeth,Blighted super restore(4),FINISHED,2000,4080000,2000,3966000,80000,-114000,2025-08-06T15:37:53Z,2025-08-06T16:19:04Z,2025-08-06T16:19:04Z,6fe08839379e71286bb2f28f3773f512b450862844773f7648c64a71a9befaea
Ormeth,Snape grass seed,FINISHED,200,1472000,200,1510069,30731,38179,2025-08-06T16:01:52Z,2025-08-06T16:17:46Z,2025-08-06T16:17:46Z,5484a02944c27424cdf1426ea5faa2be9d0ad701f742b0378202d0e1a128d7cc
Ormeth,Occult ornament kit,FINISHED,1,3874194,1,3931490,80234,57296,2025-08-06T15:42:00Z,2025-08-06T16:05:07Z,2025-08-06T16:05:07Z,27590a27088531e79c7ea2da3cfd3f93993a6d10bcc579888dfd64b948fece73
Ormeth,Cannonball,FINISHED,11000,2024000,11000,2057000,33000,33000,2025-08-06T15:13:02Z,2025-08-06T15:59:36Z,2025-08-06T15:59:36Z,1406ba5d268bc5731dfaf6920701bcc4881290d94e5d47b23b61ef740bc2973d
Ormeth,Master wand,FINISHED,2,3406008,2,3476912,70956,70904,2025-08-06T15:47:17Z,2025-08-06T15:58:48Z,2025-08-06T15:58:48Z,32d2d83dce57d64ea047c41d84c1997ae03ce0b9d13eb61725f0000a01262548
Ormeth,Chugging barrel (disassembled),FINISHED,1,6908392,1,7071425,144314,163033,2025-08-06T15:40:30Z,2025-08-06T15:46:28Z,2025-08-06T15:46:28Z,7666840fea38631440e12373135692837b82608e6bf537153c7b2f824ac14afe
Ormeth,Ornate maul handle,FINISHED,6,3538428,6,3534672,72132,-3756,2025-08-06T14:40:54Z,2025-08-06T15:36:37Z,2025-08-06T15:36:37Z,6d5fb2b126d22f05e2c75dd290bb38e4471479dea27e66014d96a2fa1341caf1
Ormeth,Chinchompa,FINISHED,100,56300,100,57400,1100,1100,2025-08-06T14:41:53Z,2025-08-06T15:31:56Z,2025-08-06T15:31:56Z,1804e5b4ecf7aa916132db7258a0593c755fb53ce7164cd360bc2b173d2f3d9f
Ormeth,Quetzal feed,FINISHED,100,717000,100,761700,15500,44700,2025-08-06T15:04:47Z,2025-08-06T15:18:17Z,2025-08-06T15:18:17Z,4db869947b878c67059268481762afdad0c52aee13cebd67425a12b9bbed894f
Ormeth,Wrath rune,FINISHED,1917,590436,1917,603855,11502,13419,2025-08-06T14:57:39Z,2025-08-06T15:10:35Z,2025-08-06T15:10:35Z,48f4b2b3b276ec0aa275416e3bccb157ef5d126280e0201256fbcac3b5a61f7d
Ormeth,Zulrah's scales,FINISHED,234,44694,234,45162,702,468,2025-08-06T14:50:08Z,2025-08-06T15:07:24Z,2025-08-06T15:07:24Z,8fc506923dc97823571986201d3d2169608cece98b7ba7933d4748846365fa15
Ormeth,Smoke rune,FINISHED,628,35168,628,38308,628,3140,2025-08-06T15:00:04Z,2025-08-06T15:07:23Z,2025-08-06T15:07:23Z,25850a34aac96600eb173061490d49b2442102eb982582e9a92415a490128bd8
Ormeth,Chaos rune,FINISHED,18000,1080000,18000,1098000,18000,18000,2025-08-06T14:54:02Z,2025-08-06T14:59:38Z,2025-08-06T14:59:38Z,2abcdeeb5c0a6bcbad6613fe4aa397dc2710e7b39f6e2891bfc5bf6084baf626
Ormeth,Zamorak monk top,SELLING,60,93240,8,12337,247,-96,2025-08-06T14:38:10Z,2025-08-06T14:53:10Z,2025-08-06T14:53:10Z,376fcfe24ad0b39d33a2af1dc7b7f5043a72df6c33ccde894c006d6ef7ce61ce
Ormeth,Dragon hunter wand,FINISHED,1,6081715,1,6164610,125808,82895,2025-08-06T14:40:31Z,2025-08-06T14:44:05Z,2025-08-06T14:44:05Z,dee4e68436c96393ec2d54de025cdd745fa6bc132b773b3b79c9a7cf634ae17e
